idx,text,emotion,gold,pred_binaire,pred_proba,type_divergence,axe_pragmatique,type_erreur,qui_a_raison,justification
0,Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,Dégoût,1,0,0.021,faux_negatif,provoquee,lexical_argot,gold,"Le terme 'dégeulasse' (graphie argotique de 'dégueulasse') est le marqueur lexical central du dégoût provoqué envers Julie, mais sa graphie non-standard a vraisemblablement perturbé le tokenizer de CamemBERT, effaçant le signal émotionnel. La proba extrêmement basse (0.0210) confirme que le modèle n'a pas reconnu ce mot comme porteur de dégoût, alors que c'est précisément son sens littéral et pragmatique."
1,allo mme est homophobe,Admiration,0,1,0.9991,faux_positif,absent,pragmatic_confusion,gold,"Le modèle confond vraisemblablement la structure syntaxique 'allo mme est [X]' avec un énoncé laudatif ou admiratif, alors qu'il s'agit d'une dénonciation accusatrice (la maîtresse est homophobe). Aucune admiration n'est ressentie, provoquée ou thématisée dans ce message."
1,allo mme est homophobe,Colère,1,0,0.0009,faux_negatif,ressentie,contexte_manquant,gold,"La colère de l'énonciateur est lisible dans le contexte global (dénonciation d'une figure d'autorité homophobe au sein d'un échange agressif), mais la phrase isolée 'allo mme est homophobe' est syntaxiquement neutre et ne contient aucun marqueur lexical ou prosodique de colère exploitable par le modèle sans contexte."
2,mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous ètent lesbiennes sa dégouteeee,Colère,1,0,0.2278,faux_negatif,provoquee,seuil_limite,gold,"La phrase est une attaque agressive ('mais tu veut quoi toi', injonction 'retourne', dénonciation publique) qui exprime une colère manifeste de l'énonciateur. La proba de 0.2278 est très proche du seuil de 0.2822, ce qui explique le faux négatif par un effet de seuil."
2,mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous ètent lesbiennes sa dégouteeee,Dégoût,1,0,0.0473,faux_negatif,ressentie,lexical_argot,gold,"Le terme 'dégouteeee' (avec allongement expressif et orthographe non standard) est le marqueur lexical central du dégoût ressenti par l'énonciateur envers l'homosexualité présumée des cibles, mais le modèle ne le reconnaît pas correctement, probablement à cause de la graphie déformée. La proba anormalement basse (0.0473) confirme un échec de tokenisation/reconnaissance lexicale."
2,mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous ètent lesbiennes sa dégouteeee,Tristesse,0,1,0.7597,faux_positif,absent,pragmatic_confusion,gold,"Le modèle confond vraisemblablement la charge émotionnelle négative intense du message (attaque homophobe, injonctions agressives) avec de la tristesse, alors que l'émotion dominante est le dégoût/colère. Il s'agit d'une confusion entre valence négative générale et tristesse spécifique."
3," on est pas ensemble déjà puis même si c'était le cas,  ça ne te regarde pas et je vois pas en quoi ça te concerne",Colère,1,0,0.0,faux_negatif,ressentie,contexte_manquant,gold,"La phrase est une réponse défensive et assertive à une attaque homophobe (contexte précédent), et la colère ressentie est encodée pragmatiquement dans le refus catégorique et la délimitation de territoire ('ça ne te regarde pas') — marqueurs de colère contrôlée que le modèle, sans le contexte d'agression, ne peut détecter. La proba à 0.0000 indique une défaillance totale du modèle, probablement incapable de lire la colère dans un registre neutre-assertif sans signal lexical explicite de colère."
4,mais grave bande de lesbiennes vous degoutée aaaaah,Colère,0,1,0.3729,faux_positif,absent,pragmatic_confusion,gold,"Le message exprime principalement du dégoût homophobe et non de la colère : l'énonciateur ne manifeste pas d'agression colérique mais une répulsion ostensiblement performative ('aaaaah', 'degoutée'). Le modèle confond probablement l'agressivité syntaxique du message avec de la colère, alors que l'affect dominant est le dégoût provoqué/exprimé."
4,mais grave bande de lesbiennes vous degoutée aaaaah,Dégoût,1,0,0.0352,faux_negatif,ressentie,lexical_argot,gold,"Le verbe 'dégoutée' est orthographié sans accent et avec accord féminin non standard, ce qui a probablement perturbé le tokenizer de CamemBERT ; de plus, la forme 'aaaaah' (interjection de répulsion allongée) est un marqueur argotique fort du dégoût ressenti que le modèle n'a pas su capturer, d'où une probabilité anormalement basse (0.0352) pour l'émotion pourtant lexicalement explicite."
5,mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit,Dégoût,1,0,0.037,faux_negatif,provoquee,pragmatic_confusion,gold,"Le verbe 'dégoûter' est ici utilisé de façon performative et transitive ('tu dégoutes même anna') : l'énonciateur exprime que la cible provoque du dégoût chez une tierce personne (Anna), ce qui constitue bien une expression de dégoût dans le discours. Le modèle a vraisemblablement capté la Colère dominante et échoué à reconnaître le dégoût thématisé/provoqué encodé dans le lexème 'dégoute', probablement confondu avec un simple verbe d'état plutôt qu'un marqueur émotionnel fort dans ce contexte de harcèlement."
